business_name,category,city,address,phone,source
Business 1,Hospital,Mumbai,Address 1,9000000001,Justdial
Business 2,Restaurant,Mumbai,Address 2,9000000002,Google
Business 3,Hospital,Delhi,Address 3,9000000003,Justdial
Business 4,Restaurant,Mumbai,Address 4,9000000004,Google
Business 5,Hospital,Mumbai,Address 5,9000000005,Justdial
Business 6,Restaurant,Delhi,Address 6,9000000006,Google
Business 7,Hospital,Mumbai,Address 7,9000000007,Justdial
Business 8,Restaurant,Mumbai,Address 8,9000000008,Google
Business 9,Hospital,Delhi,Address 9,9000000009,Justdial
Business 10,Restaurant,Mumbai,Address 10,9000000010,Google
Business 11,Hospital,Mumbai,Address 11,9000000011,Justdial
Business 12,Restaurant,Delhi,Address 12,9000000012,Google
Business 13,Hospital,Mumbai,Address 13,9000000013,Justdial
Business 14,Restaurant,Mumbai,Address 14,9000000014,Google
Business 15,Hospital,Delhi,Address 15,9000000015,Justdial
Business 16,Restaurant,Mumbai,Address 16,9000000016,Google
Business 17,Hospital,Mumbai,Address 17,9000000017,Justdial
Business 18,Restaurant,Delhi,Address 18,9000000018,Google
Business 19,Hospital,Mumbai,Address 19,9000000019,Justdial
Business 20,Restaurant,Mumbai,Address 20,9000000020,Google
Business 21,Hospital,Delhi,Address 21,9000000021,Justdial
Business 22,Restaurant,Mumbai,Address 22,9000000022,Google
Business 23,Hospital,Mumbai,Address 23,9000000023,Justdial
Business 24,Restaurant,Delhi,Address 24,9000000024,Google
Business 25,Hospital,Mumbai,Address 25,9000000025,Justdial
Business 26,Restaurant,Mumbai,Address 26,9000000026,Google
Business 27,Hospital,Delhi,Address 27,9000000027,Justdial
Business 28,Restaurant,Mumbai,Address 28,9000000028,Google
Business 29,Hospital,Mumbai,Address 29,9000000029,Justdial
Business 30,Restaurant,Delhi,Address 30,9000000030,Google
Business 31,Hospital,Mumbai,Address 31,9000000031,Justdial
Business 32,Restaurant,Mumbai,Address 32,9000000032,Google
Business 33,Hospital,Delhi,Address 33,9000000033,Justdial
Business 34,Restaurant,Mumbai,Address 34,9000000034,Google
Business 35,Hospital,Mumbai,Address 35,9000000035,Justdial
Business 36,Restaurant,Delhi,Address 36,9000000036,Google
Business 37,Hospital,Mumbai,Address 37,9000000037,Justdial
Business 38,Restaurant,Mumbai,Address 38,9000000038,Google
Business 39,Hospital,Delhi,Address 39,9000000039,Justdial
Business 40,Restaurant,Mumbai,Address 40,9000000040,Google
Business 41,Hospital,Mumbai,Address 41,9000000041,Justdial
Business 42,Restaurant,Delhi,Address 42,9000000042,Google
Business 43,Hospital,Mumbai,Address 43,9000000043,Justdial
Business 44,Restaurant,Mumbai,Address 44,9000000044,Google
Business 45,Hospital,Delhi,Address 45,9000000045,Justdial
Business 46,Restaurant,Mumbai,Address 46,9000000046,Google
Business 47,Hospital,Mumbai,Address 47,9000000047,Justdial
Business 48,Restaurant,Delhi,Address 48,9000000048,Google
Business 49,Hospital,Mumbai,Address 49,9000000049,Justdial
Business 50,Restaurant,Mumbai,Address 50,9000000050,Google
Business 51,Hospital,Delhi,Address 51,9000000051,Justdial
Business 52,Restaurant,Mumbai,Address 52,9000000052,Google
Business 53,Hospital,Mumbai,Address 53,9000000053,Justdial
Business 54,Restaurant,Delhi,Address 54,9000000054,Google
Business 55,Hospital,Mumbai,Address 55,9000000055,Justdial
Business 56,Restaurant,Mumbai,Address 56,9000000056,Google
Business 57,Hospital,Delhi,Address 57,9000000057,Justdial
Business 58,Restaurant,Mumbai,Address 58,9000000058,Google
Business 59,Hospital,Mumbai,Address 59,9000000059,Justdial
Business 60,Restaurant,Delhi,Address 60,9000000060,Google
Business 61,Hospital,Mumbai,Address 61,9000000061,Justdial
Business 62,Restaurant,Mumbai,Address 62,9000000062,Google
Business 63,Hospital,Delhi,Address 63,9000000063,Justdial
Business 64,Restaurant,Mumbai,Address 64,9000000064,Google
Business 65,Hospital,Mumbai,Address 65,9000000065,Justdial
Business 66,Restaurant,Delhi,Address 66,9000000066,Google
Business 67,Hospital,Mumbai,Address 67,9000000067,Justdial
Business 68,Restaurant,Mumbai,Address 68,9000000068,Google
Business 69,Hospital,Delhi,Address 69,9000000069,Justdial
Business 70,Restaurant,Mumbai,Address 70,9000000070,Google
Business 71,Hospital,Mumbai,Address 71,9000000071,Justdial
Business 72,Restaurant,Delhi,Address 72,9000000072,Google
Business 73,Hospital,Mumbai,Address 73,9000000073,Justdial
